track_id,track_name,artist_name,album_name,release_year,duration_s,popularity,genre,region
1CPZ5BxNNd0n0nF4Orb9JS,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025,194,100,k-pop,GLOBAL
7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,I Barely Know Her,2025,199,91,Desconhecido,GLOBAL
1qbmS6ep2hbBRaEZFpn7BX,Man I Need,Olivia Dean,Man I Need,2025,184,94,pop soul,GLOBAL
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",2024,186,92,Desconhecido,GLOBAL
04a44cx2PJthIbN2aLMXhl,TIT FOR TAT,Tate McRae,TIT FOR TAT,2025,175,86,Desconhecido,GLOBAL
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,Echo,2025,180,88,k-pop,GLOBAL
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",MAYHEM,2025,251,86,art pop,GLOBAL
02sy7FAs8dkDNYsHp4Ul3f,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025,150,95,Desconhecido,GLOBAL
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,1998,289,92,Desconhecido,GLOBAL
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024,210,94,Desconhecido,GLOBAL
1xOqGUkyxGQRdCvGpvWKmL,Gabriela,KATSEYE,Gabriela,2025,197,93,k-pop,GLOBAL
1I37Zz2g3hk9eWxaNkj031,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),2025,191,95,Desconhecido,GLOBAL
55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,RAYE,WHERE IS MY HUSBAND!,2025,196,86,Desconhecido,GLOBAL
05od2qm2MTSKCHxy1GBp5W,12 to 12,sombr,I Barely Know Her,2025,242,88,Desconhecido,GLOBAL
3cZajhyr8LmtPfHZ9296tj,No Broke Boys,"Disco Lines, Tinashe",No Broke Boys,2025,163,93,stutter house,GLOBAL
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,MUSE,2024,170,87,k-pop,GLOBAL
6xV7Be6XEvkSnighmh2Tzj,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS,2025,153,91,Desconhecido,GLOBAL
5yJaXWIErrrsjQ3J0eR5aK,The Night We Met,Lord Huron,Strange Trails,2015,208,80,Desconhecido,GLOBAL
