video_id,title,channel_id,channel_title,category,published_at,view_count,like_count,comment_count,region
TK_CdrfgcUo,GUSTTAVO LIMA - PROIBIDO TERMINAR (AO VIVO) (Com Letra) | BraZa,UCRMjnWISstTXz1iMZ3szP3g,BraZa Network,People & Blogs,2025-09-30T12:44:01Z,20697,70,1,BR
Jza2Km31AO4,Maxton Hall 2ª Temporada | Trailer Oficial,UCuNjvqjTzw9LcD9PVpTVWRA,Prime Video Brasil,Entertainment,2025-10-02T13:00:44Z,12629,1348,70,BR
XQcCrQUzN8c,Evolui VELOCIDADE até Virar um TREM BALA!,UCrcBZDofBltcgGxphNia2tw,ProbIems,Gaming,2025-10-02T13:01:04Z,284078,7602,255,BR
bu_zGMi84so,Dance se souber~ {TikTok} 2025 💌,UCVOvoHO0LmcEJy4G91AbAMw,Dj Danny Albuquerque,Music,2025-10-02T14:01:04Z,23177,221,20,BR
IZ4qobQAto8,Frankenstein | Guillermo del Toro | Trailer oficial | Netflix,UCc1l5mTmAv2GC_PXrBpqyKQ,Netflix Brasil,Entertainment,2025-10-01T13:00:02Z,426538,9354,471,BR
BBN47NZFMRU,USEI UM CONTROLE PRA JOGAR 99 NOITES NA FLORESTA,UCCeWpi_LTJfi_AbeS2OJ6OQ,TEODORO,Gaming,2025-10-02T10:41:54Z,208053,6117,626,BR
JRZHcUGolAM,Padre Reginaldo Manzotti - Evangelizar É Preciso,UCLOqStDCKZNvN_8Oqu2emGA,Padre Reginaldo Manzotti,Music,2025-10-02T14:00:06Z,19633,514,21,BR
ZL4jOPorLQM,Pokémon Legends: Z-A – Nintendo Switch 2 Edition — Overview Trailer,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,Gaming,2025-10-02T13:01:10Z,378592,19242,3940,BR
BXTZJX3BHxQ,A Viagem Mais Louca de Trem no Roblox!,UCEOGSdXwcXcNfcuDGbjmgOw,Julia MineGirl,Gaming,2025-10-02T14:00:30Z,95797,5152,451,BR
dFUoRTzCahw,Fora do Normal (Majestade) (Ao Vivo),UCjuChZN98ApesDYh5LcGl3g,Marcos e Matteus - Topic,Music,2025-09-29T10:01:54Z,14433,314,5,BR
HJzSlErp1vw,Maxton Hall Season 2 - Official Trailer | Prime Video,UCQJWtTnAHhEG5w4uN0udnUQ,Prime Video,Entertainment,2025-10-02T13:00:35Z,123124,6797,300,BR
t-UvFAXgmRE,🔥 QUEBREI O RECORDE MUNDIAL: 1 TRILHÃO POR SEGUNDO NO BRAINROT!,UCR-Y4lWmrCYbr1XavmNMlvQ,Canal Clash War,Gaming,2025-10-01T20:54:17Z,760245,17292,1648,BR
vHJLmw07y4w,Where Have You Been?,UCSQFoA-K5Vpzpgjv4d5DCYw,KO - Topic,Music,2025-09-27T11:29:39Z,223926,8013,22,BR
